titulo,tipoTrabajo,logoURL,empresa,localizacion,fechaPublicacion,salarioMinimo,salarioMaximo,aptoDiscapacitado,detalle,planPublicacion,confidencial,portal,oportunidad,fechaHoraPublicacion,idEmpresa,promedioEmpresa,gptwUrl,idArea,idSubarea,idPais,modalidadTrabajo,cantidadVacantes,latitud,longitud,links,id,tipoAviso
COORDINADOR(A) DE GESTIÓN HUMANA,Full-time,,Confidencial,"Cercado De Lima, Lima",12-08-2023,0,0,False," COORDINADOR(A) DE GESTIÓN HUMANA Water Partners es una de las compañías de tratamiento de agua con más rápido y firme crecimiento del mercado peruano, estamos comprometidos con garantizar la sostenibilidad del agua y el medio ambiente para aportar al desarrollo social y económico de Latinoamérica. Ofrecemos a nuestros clientes todo tipo de soluciones para tratamiento y reutilización de agua en diversos sectores, con la finalidad de llevar agua limpia y segura a todos los hogares, comercios e industrias, mediante la aplicación de tecnologías innovadoras y sistemas con los más altos estándares de calidad. Es por ello que estamos en la búsqueda de un(a) Coordinador(a) de Gestión Humana que lleve a cabo las tareas relacionadas con la administración del talento de nuestra organización. Funciones y Responsabilidades: Diseñar, proponer y difundir las políticas y procedimientos para la buena gestión del personal (Reglamentos, Manuales de procedimientos y/o directivas) Gestionar el ciclo de vida completo del empleado encargándose de todos los procesos inherentes (Control de asistencia, incidencias, legajos de personal, sanciones, compensaciones, beneficios, contratos, ascensos, termino de contratos, entre otros) desde la contratación hasta la separación. Coordinar y ejecutar procesos de reclutamiento y selección para puestos diversos. Administrar las actividades de incorporación y orientación de nuevos empleados. Mantener registros precisos de la información del personal y asegurarse de que se cumplan los requisitos legales. Proponer e implementar planes de formación y desarrollo profesional de los empleados. Resolver problemas y conflictos laborales de manera eficiente y colaborativa. Proponer, desarrollar y coordinar acciones para el mejoramiento del clima organizacional mediante la transformación de hábitos, costumbres y prácticas del personal. Planificar y ejecutar actividades orientadas a contribuir con la salud, el entorno personal y social de los trabajadores, a fin de velar por su bienestar favoreciendo el desarrollo de sus funciones. Elaborar los perfiles laborales de los trabajadores activos en coordinación con las gerencias usuarias. Ejecutar el programa de evaluación del desempeño laboral del personal. Establecer indicadores de gestión de recursos humanos y realizar el seguimiento Conocer temas relacionados a la Seguridad y Salud en el trabajo. Otras funciones propias de su competencia que le asigne la Gerencia General. Requisitos: Título universitario en Administración, Derecho, Psicología, Ingeniería Industrial o afines. Experiencia sólida de 5 a 7 años en funciones de recursos humanos, preferiblemente en empresas de tamaño mediano en crecimiento. Conocimiento profundo de las prácticas de recursos humanos, legislación laboral vigente y tendencias del mercado. Conocimientos de Gestión de Cambio, Clima Organizacional y Cultura Organizacional Habilidad para manejar múltiples tareas y mantener altos estándares de organización. Excelentes habilidades de comunicación verbal y escrita. Capacidad para crear y liderar equipos de trabajo, y colaborar con diferentes niveles de la organización. Actitud proactiva, orientada a soluciones y adaptabilidad a un entorno dinámico. Manejo de herramientas ofimáticas y sistemas CRM/ERP. Manejo de Power Bi a nivel usuario Consideraciones: Modalidad de trabajo: Híbrida (Oficina – Home Office). Lugar de Trabajo (Oficinas): Cercado de Lima y Miraflores, Lima. Remuneración: Salario base acorde a las expectativas del mercado Tiempo de contrato inicial: 6 meses (renovación sujeta a evaluación de desempeño). Condiciones y/o Beneficios Laborales: Todas las de la ley. Grato ambiente laboral, donde se respetan la diversidad y la equidad de género. Interesados enviar CV + Pretensiones Salariales ","{'id': 50, 'nombre': 'Destacados_60Full'}",True,Bumeran,False,12-08-2023 20:18:29,13354407,,,17,48,11,Híbrido,1,0.0,0.0,"[{'rel': 'self', 'href': 'http://bm-applicants.api.core.jobs.navent.biz/v0/application/avisos/1115951919'}]",1115951919,destacado
Analista de Bienestar Social,Full-time,,SUM VEHICULOS S.A.,"Lima, Lima",09-08-2023,0,0,False," REQUISITOS • Titulada y Colegiada en la carrera de Trabajo Social (INDISPENSABLE) • Contar con 03 años de experiencia como Asistente de Bienestar Social. • Dominio en trámites ante Es salud, seguros y gestión de recupero de subsidios • Conocimiento en Legislación Laboral vigente. • Dominio en Excel a nivel avanzado. • Conocimiento en Seguridad y Salud en el trabajo. (Deseable) • Manejo del T-Registro. FUNCIONES • Elaborar y ejecutar el Plan Anual y presupuesto del área de Bienestar Social. • Coordinar el cumplimento de los Exámenes Médicos Ocupacionales. • Realizar visitas a las Operaciones. • Elaborar programas de clima y cultura laboral en la compañía. • Gestionar los canales de Comunicación Interna. • Reportar descansos médicos. • Realizar las capacitaciones y el adecuado control de Hostigamiento Laboral • Realizar trámites de subsidios ante ESSALUD. • Realizar el registro, seguimiento y control de descansos médicos y licencias. • Administrar pólizas: SCTR, Seguro Vida Ley, EPS y FOLA. • Hacer seguimiento a los casos sociales y de salud. • Organizar y gestionar los eventos corporativos. • Brindar soporte en la gestión de legajos del personal (Derecho Habientes). BENEFICIOS • Oportunidad de Crecimiento. • Ingreso a planilla desde el primer día de trabajo. • Beneficios de Ley al 100%. • Horario de trabajo: lunes a viernes de 8 a.m. a 6 p.m. (PRESENCIAL) • Sueldo de S/. 3000 a 3500 según evaluación ","{'id': 20, 'nombre': 'Agrupados_60Full'}",False,Bumeran,False,09-08-2023 11:51:53,13094190,,,17,48,11,Presencial,1,-12.093084,-77.046491,"[{'rel': 'self', 'href': 'http://bm-applicants.api.core.jobs.navent.biz/v0/application/avisos/1115947855'}]",1115947855,home
PRACTICANTE PROFESIONAL DE DESARROLLO HUMANO,Full-time,https://imgbum.jobscdn.com/portal/img/empresas/0/0/0/2/1/5/1/1/0/0/logoMainPic_2151100_bum_v9acf5a14.jpg,Volcan Compañia Minera S.A.A.,"Huayllay, Pasco",16-08-2023,0,0,False," En Volcan estamos en la búsqueda de Practicante Profesional de Desarrollo Humano para unirse al equipo de Gestión Humana de la Unidad Minera Chungar. Responsabilidades: Apoyar en las actividades de Gestión Humana. Apoyar en el reclutamiento y selección de los diferentes procesos. Apoyar en la ejecución del plan de capacitación anual. Apoyar en la actualización de bases de datos. Apoyar en el proceso de la Evaluación de Desempeño. Apoyar en la actualización de los datos del personal. Apoyar en registros y documentación. Apoyar en otras funciones del área. Requisitos: Egresado de la carrera de Psicología o Administración, 2021-II , 2022-I , 2022-II y 2023-I Conocimiento de los procesos de Recursos Humanos. Manejo de excel a nivel intermedio. Experiencia deseable de 3 meses. Disponibilidad para trabajar bajo regimen minero 9X5. Volcan Compañía Minera es uno de los mayores productores mundiales de zinc, plomo y plata. La Compañía es considerada uno de los productores de más bajo costo en la industria debido a la calidad de sus depósitos de mineral. Volcan inició sus operaciones en 1943 en las alturas del abra de Ticlio. Todas sus operaciones están ubicadas en la Sierra Central de Perú. Volcan como grupo minero de origen peruano persigue la maximización de valor a sus accionistas, a través de la excelencia operativa y de los más altos estándares de seguridad y manejo ambiental, contribuyendo al desarrollo de su personal y de su entorno. ","{'id': 80, 'nombre': 'Simples_60'}",False,Bumeran,False,16-08-2023 12:32:41,2151100,4.4,,17,2565,11,Presencial,1,-10.9996208,-76.36517559999999,"[{'rel': 'self', 'href': 'http://bm-applicants.api.core.jobs.navent.biz/v0/application/avisos/1115957317'}]",1115957317,simple
Formador de ventas de call center en Breña,Full-time,https://imgbum.jobscdn.com/portal/img/empresas/0/0/1/0/1/6/7/1/7/8/logoMainPic_10167178_bum_v72b96357.jpg,Inversiones AVZ,"Cercado De Lima, Lima",16-08-2023,0,0,False, Contacto BPO esta creciendo y estamos reclutando a los mejores talentos para poder desempeñarse en el puesto de capacitador/formador y que tenga la disponibilidad de laborar de manera presencial en el distrito de Cercado de Lima. HORARIO: 9 am- 6 pm de lunes a viernes/ 9 am- 12 pm sábados MODALIDAD: Presencial Requisitos: - Excelente comunicación. - Proactivo y dinámico. - Experiencia mínima de 3 meses como capacitador/formador en Call center para diferentes campañas. - Sentido de responsabilidad y compromiso. - Mayor a 18 años. Te ofrecemos: - Sueldo Básico de s./1200 - Bono de objetivos s./300 - Pagos dos veces al mes - Línea de carrera y posibilidad de ascenso POSTULA YA Y FORMA PARTE DE NUESTRA FAMILIA DE CONTACTO BPO!!!! ,"{'id': 80, 'nombre': 'Simples_60'}",False,Bumeran,False,16-08-2023 12:22:34,10167178,4.33,,17,2566,11,Presencial,1,0.0,0.0,"[{'rel': 'self', 'href': 'http://bm-applicants.api.core.jobs.navent.biz/v0/application/avisos/1115957291'}]",1115957291,simple
Practicante profesional en RRHH,Full-time,https://imgbum.jobscdn.com/portal/img/empresas/0/0/1/0/1/7/4/1/5/7/logoMainPic_10174157.jpg,CERTIFICACIONES DEL PERU SA,"Callao, Lima",16-08-2023,0,0,True," Certificaciones del Perú es una empresa privada con una trayectoria de más de cuatro décadas, dedicada a ofrecer servicios de inspección, muestreo, ensayos, certificación de productos y de sistemas de gestión. Servicios que brinda como organismo de tercera parte con el respaldo técnico de su Organismo de Inspección (OI), Laboratorio de Ensayos (LE), Organismo de Certificación de Productos (OCP) y Organismo de Certificación de Sistemas (OCS). Queremos encontrar al mejor talento para el puesto de PRACTICANTE PROFESIONAL DE RECURSOS HUMANOS en nuestra Sede Callao, que cumpla con el siguiente perfil: Requisitos: - Egresado o Bachiller en Educación Superior en: Psicologia, administración, trabajo social y/o contabilidad. - Experiencia mínima 1 año en procesos operativos de RRHH (control de asistencia, contratos, emisión de cerficiados.) - Experiencia realizando procesos de selección de personal - Excel, word a nivel básico - Archivo, escaneo, control documentario, orden, etc. - Disponibilidad para realizar las practicas en La Perla, Callao (presencial) 48 horas semanales. Habilidades: - Trabajo en equipo - compromiso - proactivo ","{'id': 80, 'nombre': 'Simples_60'}",False,Bumeran,False,16-08-2023 12:19:46,10174157,,,17,48,11,Presencial,1,-12.0333333,-77.1333333,"[{'rel': 'self', 'href': 'http://bm-applicants.api.core.jobs.navent.biz/v0/application/avisos/1115957254'}]",1115957254,simple
Asistente de Desarrollo Organizacional,Full-time,https://imgbum.jobscdn.com/portal/img/empresas/11/static/logoMainPic_10152106_bum_v5fb5069c.jpg,SUNSHINE EXPORT,"Tambo Grande, Piura",16-08-2023,0,0,True," Sunshine Export S.A.C. empresa peruana líder en la exportación de mango y palta a nivel mundial, actualmente se encuentra en la búsqueda de un/a profesional para que pueda desempeñarse como Asistente de Desarrollo Organizacional. Las funciones a realizar son las siguientes: Gestionar, controlar y cumplir los procesos de inducción. Gestionar con el equipo de talento los procesos de evaluación de desempeño, capacitación, planes de desarrollo y retención. Gestionar y desarrollar el levantamiento de perfiles de puesto. Gestionar métricas de control de indicadores de talento. Apoyar en la implementación de procedimientos de gestión humana alineados al plan estratégico. Realizar otras funciones que se le asigne su superior inmediato. Los requisitos para ocupar la posición son: . Bachiller en Psicología. Deseable procedencia del sector agroindustrial. . Tiempo de experiencia: 2 - 3 años de conocimiento y experiencia en procesos de evaluación de desempeño, análisis y descripción de puestos. Deseable experiencia en inducciones masivas. Deseable especialización en gestión del talento. Conocimiento específico: Power BI, evaluación desempeño. Metodología Aine box. KPIs. Beneficios: Ingreso directo a planilla en régimen general. Alimentación cubierta al 70%. Movilidad cubierta al 100% Horario administrativo. Beneficios de Ley. Oportunidad de aprendizaje y crecimiento en una de las empresas agroexportadoras más importantes del país. Sunshine Export es una empresa Socialmente Responsable, que a su vez fomenta la diversidad e inclusión, mostrando respeto a todos y todas, viviendo nuestros valores y propósito. ","{'id': 80, 'nombre': 'Simples_60'}",False,Bumeran,False,16-08-2023 12:15:00,10152106,4.33,,17,48,11,Presencial,1,-4.93238,-80.34166700000003,"[{'rel': 'self', 'href': 'http://bm-applicants.api.core.jobs.navent.biz/v0/application/avisos/1115957264'}]",1115957264,simple
Ingeniero de Salud y Seguridad en el Trabajo,Full-time,https://imgbum.jobscdn.com/portal/img/empresas/0/0/1/0/0/9/0/3/4/5/logoMainPic_10090345_bum_v2c195086.jpg,BITEL,"San Isidro, Lima",16-08-2023,0,0,False," Somos una empresa de telecomunicaciones que llegó al Perú para brindar servicios de telefonía, Internet y venta de equipos móviles. Bitel es el nombre comercial de Viettel Perú S.A.C. que forma parte de Viettel Group, una compañía transnacional que opera en ocho países del mundo. Sé parte de nuestra comunidad oficial: Facebook oficial: facebook.com/bitelperu Youtube oficial: www.youtube.com/user/BitelPeru Twitter oficial: twitter.com/bitelperu - @bitelperu Instagram oficial: instagram.com/bitel_peru/ - bitel_peru Gestionar el cumplimiento de los estándares de Seguridad, salud ocupacional y medio ambiente según la Ley 29783 y el Reglamento Nacional de Edificaciones. Desplegar las actividades de Seguridad a nivel nacional: capacitaciones, charlas, reuniones e inspecciones. Capacitar al personal en materia de Seguridad a nivel nacional. Inspeccionar los establecimientos de las Sucursales y Almacenes. Investigar los accidentes de trabajo. Supervisar y monitorear todos los procesos de Seguridad (Permisos de trabajo seguro, IPERC, PETAR, ATS´s, Trabajos en Altura, Trabajos eléctricos.), para asegurar la integridad física del personal Realizar inspecciones de peligros y evaluación de riesgos (IPERC) para detección y control de los mismos, aplicando las herramientas de gestión. Elaborar y actualizar la documentación de seguimiento y reglamentación de seguridad y salud en el trabajo. Requisitos: Manejo del idioma inglés a nivel intermedio avanzado (INDISPENSABLE). Ingeniero especializado en Seguridad y Salud en el Trabajo. Excel a nivel intermedio - avanzado. Experiencia mínima de 1 año en funciones similares. Diplomado en Seguridad y Salud en el trabajo y/o cursos de actualización. Disponibilidad para viajar. Beneficios Remuneración acorde al mercado. Bonos trimestrales por desempeño. Contrato laboral directo con la empresa, con los beneficios de ley. EPS cubierta al 60% ","{'id': 80, 'nombre': 'Simples_60'}",False,Bumeran,False,16-08-2023 12:10:29,10090345,2.75,,17,48,11,Presencial,2,-12.1021759,-77.0578855,"[{'rel': 'self', 'href': 'http://bm-applicants.api.core.jobs.navent.biz/v0/application/avisos/1115630308'}]",1115630308,simple
SUPERVISOR SENIOR DE SEGURIDAD Y SALUD EN EL TRABAJO,Full-time,https://imgbum.jobscdn.com/portal/img/empresas/0/0/1/0/0/9/0/3/4/5/logoMainPic_10090345_bum_v2c195086.jpg,BITEL,"San Isidro, Lima",16-08-2023,0,0,False," Somos una empresa de telecomunicaciones que llegó al Perú para brindar servicios de telefonía, Internet y venta de equipos móviles. Bitel es el nombre comercial de Viettel Perú S.A.C. que forma parte de Viettel Group, una compañía transnacional que opera en ocho países del mundo. Sé parte de nuestra comunidad oficial: Facebook oficial: facebook.com/bitelperu Youtube oficial: www.youtube.com/user/BitelPeru Twitter oficial: twitter.com/bitelperu - @bitelperu Instagram oficial: instagram.com/bitel_peru/ - bitel_peru • Elaborar y dar seguimiento al Programa Anual de Seguridad y Salud Ocupacional en conjunto con pares. • Presentar recomendaciones de mejora a las observaciones de seguridad y salud en el trabajo encontradas en las inspecciones. • Manejar y aplicar el Sistema de Gestión de Seguridad y Salud en el Trabajo asegurando el cumplimiento de la normativa adoptada. • Gestión de contratistas tanto propios como de terceros en materia de Seguridad y Salud • Elaborar y gestionar programas y/o campañas de Seguridad y Salud en el trabajo. • Velar por el cumplimiento de las normas del Reglamento Interno de Trabajo, Seguridad y de los sistemas de gestión aplicables a la unidad. • Dirigir las acciones del Comité de Seguridad y Salud en el Trabajo. • Implementar el sistema de Gestión de Seguridad y Salud en el Trabajo. • Monitorear las sucursales para la correcta implementación del Plan Anual de Seguridad. • Coordinar y planificar con el Médico Ocupacional las acciones del Plan de Salud. • Establecer los estándares de Seguridad para las labores del área Técnica, Comercial y Administrativo. Requisitos: • Ingeniero titulado y colegiado (habilitado) de las carreras de: Higiene y Seguridad o Seguridad industrial, Ing industrial, Ing ambiental o a fines • Maestría o Diplomado en Gestión de seguridad y salud en el trabajo y/ o Sistemas Integrados de Gestión (Indispensable) • 5 años de experiencia en el rubro de telecomunicaciones • Gestión de riesgos • Gestión de KPI’s • Inglés Avanzado (indispensable) • Excel Avanzado • Disponibilidad para viajar Beneficios • Remuneración acorde al mercado. • Bonos trimestrales por desempeño. • Contrato laboral directo con la empresa, con los beneficios de ley. • EPS cubierta al 60% ","{'id': 80, 'nombre': 'Simples_60'}",False,Bumeran,False,16-08-2023 12:10:13,10090345,2.75,,17,48,11,Presencial,2,-12.1021759,-77.0578855,"[{'rel': 'self', 'href': 'http://bm-applicants.api.core.jobs.navent.biz/v0/application/avisos/1115630375'}]",1115630375,simple
FREELANCE DE RECLUTAMIENTO Y SELECCION,Full-time,,RANSA COMERCIAL S.A.C,"Callao, Lima",16-08-2023,0,0,False," Somos Ransa, un importante operador logístico con presencia en más de 7 países y con más de 7000 colaboradores. Actualmente somos líderes en Perú ya que contamos con más de 83 años de experiencia en el rubro. Te invitamos a formar parte de nuestra familia de trabajadores como Freelance de Reclutamiento y Selección - Callao Requisitos: - Profesional de la carrera de Administración, Psicología o afines - Experiencia de 2 años en reclutamiento masivo - Conocimiento de Excel Intermedio. - Enfoque en una sola cuenta - Disponibilidad para laborar en el Callao Funciones: · Realizar publicaciones en las diferentes fuentes de reclutamiento. · Realizar filtros de Cvs, telefónicos, contactar a los candidatos para las siguientes etapas del proceso de selección. · Solicitar la documentación del personal seleccionado y elaboración de los files. · Mantener la base de datos de los nuevos colaboradores actualizados · Acompañar al cliente interno en todo el proceso de selección, garantizando una buena calidad de candidatos y la adecuada comunicación de inicio a fin · Proponer y participar de las acciones relacionadas con la estrategia de atracción para lograr cumplir los planes anuales e indicadores de gestión. · Ser parte de los proyectos de mejora continua en los procesos de atracción, selección y Onbording. Beneficios: - Sueldo acorde al mercado. - Pertenecer a una empresa trasnacional. - Oportunidades de desarrollo - Grato ambiente laboral ","{'id': 80, 'nombre': 'Simples_60'}",False,Bumeran,False,16-08-2023 11:59:41,13345411,,,17,2565,11,Híbrido,10,-12.0333333,-77.1333333,"[{'rel': 'self', 'href': 'http://bm-applicants.api.core.jobs.navent.biz/v0/application/avisos/1115957216'}]",1115957216,simple
Analista de Nóminas,Full-time,https://imgbum.jobscdn.com/portal/img/empresas/11/static/logoMainPic_13317605_bum_v181d2c00.jpg,CONSORCIO MANTENIMIENTO DE GASODUCTOS DEL PERÚ - MGP,"Magdalena del Mar, Lima",16-08-2023,0,0,True," En Consorcio Mantenimiento de Gasoductos del Perú - MgP nos encontramos en la busqueda del mejor talento para ocupar la posición de ANALISTA DE NÓMINAS. Principales Funciones: Gestionar las novedades para las nominas en general, coordinando con los responsables de Recursos Humanos y los encargados de asegurar los controles de asistencia física y con la herramienta Software. Supervisar y asegurar el correcto proceso de las altas y bajas en el TREGISTRO y sus modificaciones, en los plazos legales. Coordinar con los responsables de RRHH, el correcto registro y utilización de las plataformas de Successfactors (registro de base de datos) y NEC (tareos en campo) Ejecución correcta del ingreso de información de la Plantilla al sistema de software de nóminas. Gestionar y asegurar los descuentos legales relacionados a las retenciones judiciales y coordinar con tesorería los depósitos a los beneficiarios. Entrega de boletas por sector según cronograma. Renovación Trimestral de Seguros(SCTR Salud - Pensión, Vida Ley, Fola, EPS) Envío de Facturas para el pago de los Seguros(SCTR Salud - Pensión, Vida Ley, Fola, EPS) Requis Titulado de las carreras de Contabilidad, Administración de Empresas o afines. Experiencia mínima comprobada de 3 años en planillas (1000 Colaboradores a más) en el sector Hidrocarburos, Construcción, Petróleo y/o Minería. Especialización y/o diplomados en elaboración de Planillas y Legislación Laboral. Dominio avanzado de Microsfot Excel. ","{'id': 80, 'nombre': 'Simples_60'}",False,Bumeran,False,16-08-2023 11:54:24,13317605,4.0,,17,2637,11,Presencial,1,0.0,0.0,"[{'rel': 'self', 'href': 'http://bm-applicants.api.core.jobs.navent.biz/v0/application/avisos/1115957194'}]",1115957194,simple
