tituloTrabajo,tipoTrabajo,empresa,localizacion,fechaPublicacion,aptoDiscapacitado,detalle,confidencial,idEmpresa,promedioEmpresa,idArea,idSubarea,idPais,modalidadTrabajo,cantidadVacantes,id,tipoAviso,cargoTrabajo,subareaTrabajo,localizacionTrabajo,skill_keywords
Laureate Perú: Practicante Pre Profesional de Compensaciones,Full-time,Laureate Perú,"Santiago de Surco, Lima",10-08-2023,No,Laureate es una corporación con presencia internacional  cuyo propósito es proporcionar acceso a una educación asequible y de alta calidad  mediante nuestras instituciones UPC  UPN y Cibertec  atendiendo a más de 2 0 0 Mil estudiantes a nivel nacional   Contribuye con el equipo que promueve el desarrollo del país a través de la educación  Estamos en búsqueda del mejor talento para la posición de Practicante Pre Profesional de Compensaciones  Misión   Apoyar en la constante actualización de la información organizacional de los colaboradores en los sistemas internos  Elaborar y hacer seguimiento las comunicaciones sobre los movimientos organizacionales que tengan los colaboradores  Formación y experiencia  Estudiante de las carreras de Ingeniería Industria  Sistemas o Administración de los últimos ciclos  Conocimiento de Excel  Word  Power Point  Vizio nivel Intermedio Experiencia de 6 meses de prácticas en posiciones similares  deseable   Responsabilidades   Apoyo en la elaboración mensual de los organigramas de la Universidad  y reflejar los cambios que se puedan dar  ingresos  ceses  promociones  etc     Apoyar en el registro de descriptivos de puestos y mantener actualizada la base de datos    Elaboración y envío de comunicación sobre incrementos  ascensos  y otro tipo de cambio organizacional    Seguimiento y registro de todas las comunicaciones enviadas por parte del área de Compensaciones    Registro y actualización de datos organizacionales en sistemas de Administración de Personal  área  sección  sede  jefe  etc     Consolidación y elaboración de reportes de cambios y movimientos internos para nómina    Dar soporte y apoyo al equipo con otras labores encomendadas por el área  Beneficios Seguro médico FOLA Descuentos corporativos Descuentos educativos en toda la red laureate,No,2242930,3.7,17,2567,11,Remoto,1,1115949805,simple,Practicante,Compensaciones,Lima,"['power point', 'excel', 'word', 'administración', 'ingeniería']"
Laureate Perú: Practicante Profesional de Administración de Personal,Full-time,Laureate Perú,"Santiago de Surco, Lima",09-08-2023,No,Laureate es una corporación con presencia internacional  cuyo propósito es proporcionar acceso a una educación asequible y de alta calidad  mediante nuestras instituciones UPC  UPN y Cibertec  atendiendo a más de 2 0 0 Mil estudiantes a nivel nacional   Contribuye con el equipo que promueve el desarrollo del país a través de la educación  Estamos en búsqueda del mejor talento para la posición de Practicante Profesional de Administración de Personal  Misión   Elaborar adecuadamente los reportes de asistencia y ausencias del personal  tratando de asegurar que los procesos de asistencia y ausencias del personal se efectúe dentro de los plazos establecidos como parte de los procesos internos  Formación y experiencia  Egresado o bachiller de las carreras de Administración o carreras afines  Experiencia mínima de 1 años en puestos similares  se puede considerar practicas pre de 1 año completo  Conocimientos   Indispensable nivel de excel intermedio   avanzado  Responsabilidades   Apoyo en el control y proceso de Asistencia    Apoyo en el control y proceso de vacaciones    Elaboración de informes mensuales    Apoyo en la actualización de información en asistencia y vacaciones en el sistema    Absolución de consultas de los colaboradores    Emisiones de documentos al personal    Apoyo en ordenar y almacenar documentos    Apoyo en la búsqueda de información de documentos físicos    Apoyo en otras tareas que requiere el área  Beneficios Oportunidad de línea de carrera Convenio de practicas profesionales por 1 año   6 meses renovable  Descuentos corporativos Descuentos educativos en toda la red laureate,No,2242930,3.7,17,2637,11,Remoto,1,1115948140,simple,Practicante,Administración de Personal,Lima,"['asistencia', 'excel', 'vacaciones', 'administración']"
Practicante PRO de Reclutamiento y Selección,Por Horas,Total Talent Human Resources,"Lince, Lima",11-08-2023,No,En Total Talent  nos encontramos en la búsqueda del mejor talento para ocupar la posición de  Practicante de Reclutamiento y Selección Ad Honorem Requisitos    Egresados de la carrera de Psicología    Office a nivel Intermedio    Contar con PC  internet y celular cuando sea home office    Disponibilidad para laborar de forma remota y presencial en Lince    Disponibilidad para laborar de L V y eventualmente los sábados de acuerdo a necesidad  Funciones    Realizar filtro curricular y telefónico    Armado de legajos de manera presencial    Realizar las publicaciones en las diferentes bolsas de trabajos    Elaboración de referencias laborales y personales de los candidatos    Elaboración y presentación de reportes del reclutamiento y selección    Ejecutar las actividades brindadas por su jefe inmediato  Beneficios a nivel mercado    Excelente clima laboral    Capacitaciones constantes    Certificación de practicas,No,13135969,,17,2565,11,Híbrido,5,1115950253,simple,Practicante,Reclutamiento,Lima,['psicología']
PRACTICANTE DE SELECCIÓN,Full-time,BIMBO PERÚ,"Callao, Lima",09-08-2023,Si,Somos la empresa de panificación más importante del mundo por posicionamiento de marca  por volumen de producción y ventas  Además  somos el líder indiscutible de nuestro giro de negocio en México  Latinoamérica y Estados Unidos  Tenemos presencia en 34 países de América  Asia y Europa  contamos con más de 10 000 productos y 100 marcas de reconocido prestigio  Nosotros somos más de colaboradores y 214 plantas de producción  Grupo Bimbo tiene más de 3 3 millones de puntos de venta a nivel global   Alimentamos un mundo mejor  En Grupo Bimbo estamos en busca del mejor talento que nos acompañe a alimentar un mundo mejor   Quieres ser parte de una gran empresa que alimenta el mundo con grandes acciones  Es tu oportunidad de colaborar con nosotros y pertenecer a una gran comunidad global que se encarga de llevar alimentos deliciosos y nutritivos a las manos de todos  Te invitamos a postular al cargo de Practicante de Selección  Funciones  Apoyar en la actualización de las fuentes de reclutamiento y bases de postulantes en proceso  Apoyar en el filtro curricular  cita a candidatos  entrevistas y seguimiento de procesos  Apoyar en el soporte de la validación documentaria y carga correcta del file virtual de los nuevos ingresos  Apoyar en la inducción del personal de nuevo ingreso  Apoyar en funciones inherentes al área  Requisitos  Requisitos  Estudiante de los últimos ciclos o egresados de la carrera de Psicología  Experiencia en procesos masivos  deseable   Residir en distritos aledaños al Callao  Disponibilidad para realizar trabajo hibrido de lunes a viernes  Manejo de Excel a nivel intermedio  Beneficios Formar parte de una empresa líder en su giro de negocio  Subvención económica acorde al mercado Alimentación cubierta Grato ambiente laboral,Si,10125982,5.0,17,2565,11,Híbrido,1,1115948089,simple,Practicante,Reclutamiento,Lima,"['psicología', 'excel']"
PRACTICANTE DE ATRACCIÓN DEL TALENTO,Full-time,Win Empresas,"San Isidro, Lima",09-08-2023,No,Somos Win Empresas y estamos aquí para acompañarte durante todo el viaje de la evolución digital de tu compañía  Por eso  estamos comprometidos en asegurar la aceleración del crecimiento de tu negocio  con agilidad y flexibilidad en todo momento  Para hacerlo  reunimos talento humano con tecnología  sumados a la más amplia red de socios y fibra óptica a nivel nacional  para sacar el máximos provecho al potencial de lo digital en cada industria  Porque sabemos que las conexiones más fuertes no sólo te la dan los cables  sino las personas  continuaremos siempre en la línea de la creatividad y la innovación para asegurarte un servicio con una propuesta de valor distinta en Conectividad  Cloud Híbrido  Ciberseguridad  Servicios Gestionados  Servicios de Data Center  Comunicaciones Unificadas y Telefonía Corporativa   Llegamos para acompañarte en tu evolución digital   Cuáles serán tus retos  Publicar los requerimientos en las diversas bolsas de empleo disponibles en el mercado  Gestionar el ´proceso de reclutamiento y selección de posiciones básicas de la organización Llevar a cabo filtros curriculares y telefónicos  Coordinar y dar seguimiento al envío y resolución de evaluaciones  Apoyar en la coordinación de las entrevistas y o dinámicas grupales con los candidatos  Gestionar la creación de accesos en la plataforma Smartboleta  Otras funciones asignadas por el jefe directo Requisitos   Qué buscamos  Egresado Universitario de la carrera de Administración  Marketing  Ingeniería Telecomunicaciones  Ing  Industrial  Sistemas  Ing  Electrónica y o afines Contar con curso  Diplomado  Especialiación o Maestría es Ventas  Gestión Comercial y o afines  deseable  Contar con experiencia en el puesto de 2 años a más Tener experiencia en ventas corporativas  B2B  de 2 años a más  Beneficios  Qué te ofrecemos  Trabajo híbrido  Buen ambiente laboral  Línea de carrera  Todos los beneficios de Ley para practicantes  Capacitación constante  Descuentos corporativos   WinEmpresas Seguro de Vida Ley desde el primer día,No,10104709,4.0,17,2565,11,Híbrido,1,1115948004,simple,Practicante,Reclutamiento,Lima,"['administración', 'ingeniería']"
Practicante de Atracción del Talento,Full-time,BANCO PICHINCHA,"Miraflores, Lima",09-08-2023,Si,Únete a nuestro equipo con Confianza para Ganar  En el Banco Pichincha estamos comprometidos con Inspirar y Retribuir Confianza  Nos encontramos en la búsqueda de talento para la posición Practicante de Atracción del Talento   conoce más sobre esta oportunidad laboral a continuación   Cuál es el reto principal  Ejecutar los procesos de reclutamiento y selección  cumpliendo los tiempos y parámetros establecidos   Cuáles serán tus principales responsabilidades  Ejecutar  de principio a fin  el proceso de reclutamiento y selección para cubrir vacantes de la organización  convocatoria  filtros  dinámicas  entrevistas  informes  etc    Realizar el proceso de incorporación de nuevos colaboradores  Comunicar oportunamente las diferentes etapas y el estado del proceso a candidatos y clientes internos  Cuáles serán tus principales responsabilidades  Estudiante universitario o Egresado a de las carreras de Psicología  Recursos Humanos  Administración o afines  Indispensable experiencia de 6 meses viendo procesos masivos  Conocimiento de Office a nivel intermedio  Manejo de entrevistas por competencias   Qué te ofrecemos  Oportunidad de realizar línea de carrera  Beneficios corporativos  En el Banco Pichincha creemos firmemente en la igualdad de oportunidades por lo cual promovemos la diversidad de género  origen étnico  nacionalidad  la inclusión de personas con discapacidad y o habilidades diferentes  de acuerdo con lo establecido en la Ley N° 29973,Si,2076190,4.08,17,2565,11,Híbrido,1,1115947615,simple,Practicante,Reclutamiento,Lima,"['tiempos', 'psicología', 'administración']"
Analista de Planillas,Full-time,Honda del Perú,"San Isidro, Lima",11-08-2023,No,Honda comercializa en Perú cuatro líneas de productos  Automóviles  Motocicletas  Productos de Fuerza  motobombas  grupos electrógenos  motores estacionarios  otros  y Fourtrax  Cuatrimotos   Honda es líder mundial en la producción y comercialización de motocicletas  a demás es la segunda empresa automotriz con mayor facturación a nivel mundial  En Honda del Perú nos encontramos en búsqueda del mejor talento para que se desempeñe como Analista de Planillas para nuestra División de Recursos Humanos  Desarrollo del proceso de contrataciones de nuevos asociados  Seguimiento y gestión de renovaciones de contrato  Control de asistencia de personal  Controlar  actualizar el reporte de novedades  y realizar el seguimiento a la ejecución del cálculo de nómina  Administrar la base de datos del personal  Mantener actualizado y controlado el presupuesto del área  Definir y administrar las políticas y procedimientos adecuados para el cálculo y abono de la nómina  Liderar la gestión de respuesta ante auditorías internas y gubernamentales  Dirigir y ejecutar los procesos administrativos que formalizan la desvinculación laboral de las personas de la Empresa  desde el cálculo hasta la comunicación  negociación y cierre   Diseñar y desplegar el plan de compensación del personal según la valoración de puestos y bandas salariales  Atender las consultas de clientes internos y otras a solicitud del área de GDH  Requisitos  Titulado o bachiller en Administración Ingeniería Industrial o carreras afines Experiencia mínima de 1 año en procesos similares  Inglés a nivel intermedio  Microsoft Office a nivel avanzado  Beneficios Ingreso a planilla con todos los beneficios de ley Remuneración acorde al mercado EPS cubierta al 100  Tarjeta de alimentos,No,2069940,,17,2567,11,Híbrido,1,1115950513,simple,Analista,Planillas,Lima,"['eps', 'asistencia', 'inglés', 'administración', 'ingeniería']"
HR Pre Intern,Full-time,PRECISION PERU,"La Victoria, Lima",11-08-2023,No,Sobre PRECISION Somos PRECISION  una compañía líder en automatización industrial y transformación digital en Chile  Perú  Ecuador y Bolivia  Nuestro equipo está cambiando la industria y conectando tecnologías de última generación con la industria regional  Estamos creciendo fuertemente y te queremos para enfrentar nuevos desafíos   Postula y sé parte de este gran equipo  Sobre PRECISION Somos PRECISION  una compañía líder en automatización industrial y transformación digital en Chile  Perú  Ecuador y Bolivia  Nuestro equipo está cambiando la industria y conectando tecnologías de última generación con la industria regional  Estamos creciendo fuertemente y te queremos para enfrentar nuevos desafíos   Postula y sé parte de este gran equipo  Propósito del cargo Estamos en búsqueda de un a  HR Pre Intern para la Gerencia de Personas y Administración  Tu principal desafío es brindar soporte y seguimiento del desarrollo de los procesos hard y soft del equipo e identificar oportunidades de mejoras que reflejen las buenas prácticas en la empresa  En el día a día serás responsable de  Realizar seguimiento y soporte en la ejecución de los procesos de selección end to end  Soporte en la revisión de reportes de análisis de datos y KPIs del área  Apoyar en el control de Matrices de asistencia  inducciones y capacitaciones locales y corporativas  Participar en la recopilación de datos y actividades de recursos humanos para identificar y propuestas de mejora para el HR BBPP  Brindar soporte en el desarrollo de los procesos administrativos del área  Requisitos   Qué necesito para asumir este desafío  Formación  Estudiante de 8vo o 9no ciclo de las carreras de Recursos Humanos  Psicología  Administración  Ingeniería Industrial o afines  Experiencia  Deseable experiencia previa en el equipo de Recursos Humanos  Conocimientos  En Recursos Humanos  Beneficios  Por qué trabajar en PRECISION  ● Seguro FOLA ● Actívate PRECISION  Entrenamiento funcional presencial y virtual 2 veces por semana  ● Free Birthday  Día libre el día de cumpleaños  ● Casual Week  Código de vestimenta casual toda la semana  ● Descuentos en actividades de entretenimiento  ● Plan de Desarrollo Profesional  Onboarding  proceso de Evaluación de Desempeño  programa de Movilidad Interna regional y Capacitaciones orientadas a adquirir habilidades que potencien tu carrera profesional en el futuro  ● Celebramos todos los eventos importantes  Día de la Madre  Día del Padre  Día del Niño  Días Nacionales  Navidad y Fiesta PRECISION  Cultura PRECISION Buscamos personas que nos apoyen con los desafíos de la Industria   orientadas a darlo todo por nuestros clientes  que quieran conectarse con las tecnologías de última generación  que les interese el desarrollo continuo  cambiar la industria y ser impecable en su quehacer  Diversidad En PRECISION buscamos generar un ambiente de trabajo inclusivo y diverso  donde prime el trato justo y respetuoso  Así también nos preocupa la igualdad de oportunidades en todos nuestros procesos de trabajo  En caso que requieras algún ajuste en nuestro proceso de selección  cuéntanos en la última sección de preguntas para apoyarte con tu participación en igualdad de condiciones,No,1048890,,17,48,11,Híbrido,1,1115949084,simple,Otros,Gestión Humana,Lima,"['asistencia', 'psicología', 'administración', 'ingeniería']"
Jefe de Bienestar Laboral,Full-time,Confidencial,"San Isidro, Lima",10-08-2023,No,Importante empresa transnacional  se encuentra en búsqueda de un Jefe de Bienestar de Personal para sus operaciones en Perú  Requisitos  Profesional en carrera de Psicología Organizacional  Administración o carreras afines a la gestión de Personas  Experiencia en temas de clima  cultura y promoción del bienestar del empleado  2 años como líder de equipo en el área mencionada  habiendo supervisado equipos  Experiencia en empresas con más de 1000 colaboradores  Ingles a nivel avanzado  deseable  Conocimiento y experiencia en mediciones corporativas de clima  Conocimiento de nuevas prácticas tendencia de la promoción del bienestar del empleado  Exccel a nivel intermedio   avanzado Manejo de SuccesFactors  deseable  Power BI  muy deseable   Las personas interesadas  enviar por este medio su postulación y nos contactaremos a la brevedad,No,1669060,,17,48,11,Híbrido,1,1115949646,simple,Jefe,Bienestar Social,Lima,"['psicología', 'administración', 'power bi']"
Analista de selección - Corporacion Jeruth,Full-time,PANORAMA CSC SOCIEDAD ANONIMA CERRADA,"Lima, Lima",11-08-2023,No,Descubre tu futuro laboral en Jeruth  Únete a nuestro equipo líder en soluciones estratégicas   Aprovecha esta oportunidad para crecer profesionalmente y alcanzar tus metas junto a la Corporación Jeruth   Trabajo  OportunidadLaboral  PanoramaBPO Analista de Selección Objetivo del puesto  Ser el responsable de la ejecución de todos los procesos de Reclutamiento y Selección de principio a fin para todas las operaciones activas de la organización y de acuerdo a las políticas definidas por la empresa  Requisitos  Egresado de Psicología Organizacional  Ingeniería Industrial  Administración o afines  Experiencia mínima de 3 años en cargos similares realizando procesos de reclutamiento y selección Conocimiento en la realización de entrevistas por competencias  Conocimiento sólido de procesos de selección masivos  Manejo de Office a nivel intermedio  Funciones  Elaborar y validar los perfiles según el puesto requerido  Mantener actualizadas las publicaciones en los diversos medios de reclutamiento autorizados  Elaborar los informes de evaluación de los candidatos preseleccionados  Proceder a la verificación de referencias laborales y verificaciones personales  Realizar los procesos de contratación de colaboradores,No,13254952,,17,2565,11,Presencial,1,1115950963,simple,Analista,Reclutamiento,Lima,"['psicología', 'administración', 'ingeniería']"
ANALISTA DE SELECCION,Full-time,Confidencial,Lima,11-08-2023,No,Importante empresa comercializadora y distribuidora de combustible  busca incorporar personal para cubrir la posición de ANALISTA DE SELECCION REQUISITOS  Bachiller de psicología  recursos humanos  administración  a fines  Experiencia de 2 a 3 años en procesos de reclutamiento y selección  Conocimiento de ofimática nivel intermedio  Disponibilidad inmediata  FUNCIONES  Elaborar y publicar los avisos en las diferentes fuentes de reclutamiento para cubrir las posiciones vacantes  Coordinar con los clientes internos los aspectos que se deben considerar para evaluar a los candidatos  según la descripción del puesto y necesidades de la Unidad  Entrevistar a los candidatos calificados según los filtros  Presentar la terna al cliente interno según sus requerimientos para cubrir las posiciones vacantes  Verificar con el cliente interno si los perfiles de puestos se ajustan a los nuevos requerimientos Aplicar pruebas específicas para la selección de personal  estandarizando y actualizando las baterías de evaluación psicotécnica por perfiles  Establecer políticas de desarrollo para el proceso de promoción interna y ascensos temporales y permanentes del personal administrativo y operario  Preparar el plan de inducción para las diferentes posiciones de la empresa  Efectuar otras tareas inherentes a su puesto o por indicación de su superior inmediato  OFRECEMOS  Trabajo de Lunes a Viernes  8 00am a 6 30pm Sueldo acorde al mercado  Trabajo Presencial,No,1654630,,17,2565,11,Presencial,1,1115950761,simple,Analista,Reclutamiento,Lima,"['psicología', 'administración']"
Practicante Profesional de Selección de Personal,Full-time,Caja Metropolitana de Lima,"San Isidro, Lima",10-08-2023,Si,Caja Metropolitana de Lima  entidad financiera con 75 años en el mercado  esta en la busqueda de un Practicante de Profesional de Seleccion   que cumpla con el siguiente perfil  Requisitos  Egresado o bachiller de las carreras de Psicología  Administración o carreras afines  Manejo de Excel a nivel intermedio  Experiencia mínima de 6 meses en Reclutamiento y Selección de Personal o afines  Disponibilidad inmediata  Funciones  Publicación de avisos en las distintas fuentes de reclutamiento  Realizar filtro curricular y telefónico  Realizar el filtro en centrales de riesgo  Envío de pruebas psicolaborales  Realizar referencias laborales de los candidatos  Apoyo en el seguimiento del proceso de incorporacion  Armar los filles de los nuevos colaboradores  Apoyo en otras actividades del área de Selección y Recursos Humanos  Beneficios  Subvención Económica S   1100 Seguro Fola  Línea de Carrera  Buen Clima Laboral,Si,10071882,,17,2565,11,Presencial,1,1115948730,simple,Practicante,Reclutamiento,Lima,"['psicología', 'excel', 'administración']"
Asistente de Desarrollo Humano,Full-time,Confidencial,"Lima, Lima",10-08-2023,No,Empresa Minera se encuentra en búsqueda de 01 Asistente de Desarrollo Humano para trabajar en campamento minero bajo sistema de trabajo 14x7  Requisitos    Bachiller o Titulado en Ingeniería Industrial  Psicología  o afines    Experiencia mínima de 01 año brindando soporte en selección  capacitación  desempeño o clima laboral  Funciones    Brindar soporte en la cobertura de vacantes de la Unidad Minera     Realizar reportes de cumplimiento de headcount de la compañía y terceros    Actualizar la estadística de capacitación DS 023 y cursos técnicos  así como emitir reportes diarios  semanales y mensuales de cumplimiento    Apoyar en las actividades de clima y cultura de la organización    Actualizar los reportes semanales y mensuales del área de Recursos Humanos,No,13100392,,17,2565,11,Presencial,1,1115948483,simple,Asistente,Gestión Humana,Lima,"['psicología', 'ingeniería']"
Practicante Profesional de Reclutamiento y Selección,Full-time,Confidencial,Perú,10-08-2023,No,Nos encontramos en la búsqueda del mejor talento para la posición  Practicante Profesional de Reclutamiento y Selección Principales responsabilidades   Brindar soporte en los procesos inherentes en la selección  incorporación y movimientos del personal    Mantener actualizado el status de todos los procesos de selección del área    Apoyar en el seguimiento y cumplimiento de los indicadores del área    Coordinar y llevar a cabo los programas de reconocimiento del área    Armar legajos del personal seleccionado y tramitar sus implementos para su ingreso    Apoyar en procesos de selección de diferentes perfiles    Apoyar en gestiones administrativas y operativas del área    Proponer oportunidades de mejora que permitan generar eficiencia de los procesos internos  Requisitos principales de la posición   Egresado o bachiller de las carreras Administración de Empresa  Ingeniera Industrial y o afines    Nivel de Excel Intermedio  Manejo de tablas dinámicas  Manejo de fórmulas  entre otros     Deseable experiencia en funciones similares  Ofrecemos    Cubrimos la Alimentación al 1 0 0    Te brindamos oportunidades de crecimiento y desarrollo profesional,No,1604120,,17,2565,11,Presencial,1,1115948481,simple,Practicante,Reclutamiento,Lima,"['indicadores', 'excel', 'administración']"
Practicante Profesional de Selección,Full-time,TRUPAL S.A,"Lurigancho, Lima",10-08-2023,No,TRUPAL S A  Somos líderes en el mercado dedicada a la fabricación de papeles  cartones corrugados  cajas y empaques flexibles  Formamos parte del Grupo Gloria  Nos encontramos en búsqueda de  Practicante Profesional de Selección REQUISITOS    Jóvenes egresados de la carrera de Psicología en los periodo de 2022   II o 2023   I  INDISPENSABLE    Experiencia mínima de 6 meses realizando reclutamiento y selección de personal    Disponibilidad para trabajar en Huachipa  contamos con movilidad ida y vuelta     Horario de labores  Lunes a Viernes de 6 30 am a 4 50 pm    Dominio de excel intermedio certificado  FUNCIONES     Apoyo en los procesos de reclutamiento y selección de personal desde realizar las publicaciones hasta la presentación de terna    Registrar los requerimientos en las diferentes bolsas de trabajo    Desarrollo del filtro curricular y telefónico    Elaboración de Long List para puestos administrativos    Contactar a los candidatos pre seleccionados    Aplicación de entrevista por competencia y evaluaciones psicotécnicas    Consolidar información de los ingresos y recepción de documentos  SE OFRECE    Convenio anual de Prácticas profesionales    Remuneración atractiva    Seguro de Salud FOLA cubierto al 100     Beneficios corporativos  TRUPAL S A  es una empresa incluyente  que respeta la diversidad y no hace ningún tipo de discriminación,No,937000,4.44,17,2565,11,Presencial,1,1115948447,simple,Practicante,Reclutamiento,Lima,"['psicología', 'excel']"
Analista de Selección,Full-time,Confidencial,"Cercado De Lima, Lima",09-08-2023,No,Importante grupo emprsaria se encuentra en la búsqueda de un Analista de selección que cumpla con el siguiente perfil  Requisitos   Profesional de la carrera de Psicología Experiencia de 4 años en posiciones similares Experiencia liderando procesos administrativos y mandos medios Estrategias de reclutamiento y hunting Disponilidad inmediata Se Ofrece  Ingreso a planilla con todos los beneficios de ley Remuneracion acorde al mercado,No,13137673,,17,2565,11,Presencial,1,1115948110,simple,Analista,Reclutamiento,Lima,['psicología']
